time/T_position,positional_angle,time/T_elevation,elevation_angle,time/T_feathering,feathering_angle
0.03899,98.33228,0.02656,1.66665,-0.04646,-1.66667
0.10197,88.32703,0.11664,2.49248,-0.00857,-6.66667
0.12596,74.9917,0.20715,6.6516,0.02952,-13.88889
0.1627,60.82197,0.36139,6.63875,0.04906,-22.77778
0.18594,41.65337,0.46272,-5.03636,0.07795,-31.66667
0.24764,21.64823,0.52838,5.7915,0.0884,-43.33333
0.27035,-1.687,0.65702,6.61411,0.11724,-51.66667
0.31951,-19.1911,0.72129,6.60876,0.14577,-56.66667
0.35614,-34.19415,0.84993,7.43137,0.19307,-62.22222
0.48286,-48.37138,0.87392,-5.90396,0.22997,-56.66667
0.57465,-34.21236,0.93808,-6.74264,0.2573,-48.88889
0.61567,-15.04911,0.97771,1.58739,0.27554,-43.88889
0.68412,17.44519,1.0046,10.75181,0.29363,-37.22222
0.71272,39.9428,1.1704,0.738,0.31156,-28.88889
0.79316,65.76943,1.23606,11.56586,0.33874,-19.44444
0.84693,84.09829,1.31222,4.05951,0.37532,-10.55556
0.93872,98.2573,1.34981,-3.44362,0.38395,-2.77778
1.01498,91.58428,1.42736,-0.11675,0.40173,7.22222
1.05215,80.74785,1.49291,9.87779,0.41965,15.55556
1.08911,68.24477,1.55686,7.37246,0.45635,23.33333
1.08911,68.24477,1.60742,0.70158,0.47422,32.22222
1.11203,46.57619,1.69793,4.8607,0.5106,43.33333
1.16098,27.40545,1.73756,13.19073,0.50977,52.22222
1.15851,8.23899,1.81361,4.85106,0.5462,62.77778
1.22064,-8.43286,1.86341,-7.65309,0.61059,74.44444
1.28308,-22.60473,1.91558,-1.8241,0.63933,67.22222
1.33332,-31.77558,1.96795,5.67153,0.64915,62.22222
1.42222,-40.11632,2.04561,9.83173,0.67784,55.55556
1.52612,-31.79165,2.12144,-0.17459,0.68782,48.88889
1.56629,-19.29499,2.19974,8.98555,0.69769,43.33333
1.60731,-0.13175,2.26508,17.31344,0.72628,37.77778
1.64801,16.53153,2.32752,3.14157,0.7268,32.22222
1.68829,29.86151,2.38997,-11.0303,0.74613,25.55556
1.71624,47.35918,2.45616,3.96418,0.75637,16.11111
1.75694,64.02245,2.49633,16.46083,0.7758,8.33333
1.82292,77.35029,2.57217,6.45452,0.78594,0.0
1.95328,91.50609,2.63515,-3.55073,0.79586,-6.11111
2.04132,76.49875,2.70102,8.94378,0.82439,-11.11111
2.1283,53.15817,2.74076,18.10713,0.83479,-22.22222
2.13783,27.32404,2.81638,6.43416,0.87309,-31.66667
2.18699,9.81995,2.84059,-5.23452,0.94793,-31.66667
2.22298,-10.18305,2.93024,-7.74199,0.97651,-37.22222
2.28543,-24.35492,2.95734,3.08908,0.98638,-42.77778
2.33577,-32.69245,2.99772,17.25239,0.99631,-48.88889
2.43742,-41.86759,3.07366,8.07939,1.02484,-53.88889
2.51636,-27.7075,3.12379,-1.92479,1.02547,-60.55556
2.59573,-10.21412,3.2023,8.902,1.07291,-67.77778
2.63665,8.11581,3.25511,19.73094,1.12842,-61.11111
2.67767,27.27906,3.31777,7.22572,1.13725,-55.55556
2.7052,41.44343,3.31637,-3.6075,1.15539,-49.44444
2.73305,58.10778,3.40635,-3.615,1.16417,-43.33333
2.77321,70.60443,3.47243,10.54616,1.17295,-37.22222
2.82623,83.10001,3.53713,13.8741,1.18153,-28.88889
2.93045,93.92466,3.62518,-1.13324,1.19031,-22.77778
3.00629,83.91834,3.743,15.52361,1.20819,-13.88889
3.04367,74.74856,3.80576,3.85172,1.22612,-5.55556
3.08094,64.74545,3.868,-11.9868,1.24426,0.55556
3.10547,55.57674,3.93387,0.50771,1.26245,6.11111
3.11608,38.07586,3.9871,14.66994,1.28978,13.88889
3.15228,19.73951,4.10096,0.49378,1.28906,21.66667
3.20166,3.90206,4.21804,11.31736,1.3073,26.66667
3.22544,-11.09992,4.28166,6.31206,1.34445,29.44444
3.26239,-23.603,4.31872,-5.3577,1.45635,33.33333
3.29999,-31.10614,4.39552,-7.8641,1.48368,41.11111
3.38878,-40.2802,4.44822,2.13151,1.49257,46.11111
3.43966,-44.45111,4.47564,15.46256,1.52947,51.66667
3.49225,-35.28883,4.57707,4.62077,1.52905,56.11111
3.54495,-25.29322,4.66651,0.44665,1.57489,66.11111
3.58587,-6.96329,4.70668,12.94331,1.58481,60.0
3.58747,5.53657,4.76966,2.93806,1.6134,54.44444
3.62753,17.1999,4.83232,-9.56716,1.63252,50.0
3.66727,26.36326,4.91104,2.92628,1.67082,40.55556
3.66898,39.69645,5.00273,16.25197,1.6807,35.0
