time/T,Angle(°),Index,Type
-0.04646,-1.66667,0.00000,feathering
-0.00857,-6.66667,1.00000,feathering
0.02952,-13.88889,2.00000,feathering
0.04906,-22.77778,3.00000,feathering
0.07795,-31.66667,4.00000,feathering
0.08840,-43.33333,5.00000,feathering
0.11724,-51.66667,6.00000,feathering
0.14577,-56.66667,7.00000,feathering
0.19307,-62.22222,8.00000,feathering
0.22997,-56.66667,9.00000,feathering
0.25730,-48.88889,10.00000,feathering
0.27554,-43.88889,11.00000,feathering
0.29363,-37.22222,12.00000,feathering
0.31156,-28.88889,13.00000,feathering
0.33874,-19.44444,14.00000,feathering
0.37532,-10.55556,15.00000,feathering
0.38395,-2.77778,16.00000,feathering
0.40173,7.22222,17.00000,feathering
0.41965,15.55556,18.00000,feathering
0.45635,23.33333,19.00000,feathering
0.47422,32.22222,20.00000,feathering
0.51060,43.33333,21.00000,feathering
0.50977,52.22222,22.00000,feathering
0.54620,62.77778,23.00000,feathering
0.61059,74.44444,24.00000,feathering
0.63933,67.22222,25.00000,feathering
0.64915,62.22222,26.00000,feathering
0.67784,55.55556,27.00000,feathering
0.68782,48.88889,28.00000,feathering
0.69769,43.33333,29.00000,feathering
0.72628,37.77778,30.00000,feathering
0.72680,32.22222,31.00000,feathering
0.74613,25.55556,32.00000,feathering
0.75637,16.11111,33.00000,feathering
0.77580,8.33333,34.00000,feathering
0.78594,0.00000,35.00000,feathering
0.79586,-6.11111,36.00000,feathering
0.82439,-11.11111,37.00000,feathering
0.83479,-22.22222,38.00000,feathering
0.87309,-31.66667,39.00000,feathering
0.94793,-31.66667,40.00000,feathering
0.97651,-37.22222,41.00000,feathering
0.98638,-42.77778,42.00000,feathering
0.99631,-48.88889,43.00000,feathering
1.02484,-53.88889,44.00000,feathering
1.02547,-60.55556,45.00000,feathering
1.07291,-67.77778,46.00000,feathering
1.12842,-61.11111,47.00000,feathering
1.13725,-55.55556,48.00000,feathering
1.15539,-49.44444,49.00000,feathering
1.16417,-43.33333,50.00000,feathering
1.17295,-37.22222,51.00000,feathering
1.18153,-28.88889,52.00000,feathering
1.19031,-22.77778,53.00000,feathering
1.20819,-13.88889,54.00000,feathering
1.22612,-5.55556,55.00000,feathering
1.24426,0.55556,56.00000,feathering
1.26245,6.11111,57.00000,feathering
1.28978,13.88889,58.00000,feathering
1.28906,21.66667,59.00000,feathering
1.30730,26.66667,60.00000,feathering
1.34445,29.44444,61.00000,feathering
1.45635,33.33333,62.00000,feathering
1.48368,41.11111,63.00000,feathering
1.49257,46.11111,64.00000,feathering
1.52947,51.66667,65.00000,feathering
1.52905,56.11111,66.00000,feathering
1.57489,66.11111,67.00000,feathering
1.58481,60.00000,68.00000,feathering
1.61340,54.44444,69.00000,feathering
1.63252,50.00000,70.00000,feathering
1.67082,40.55556,71.00000,feathering
1.68070,35.00000,72.00000,feathering
1.68137,27.77778,73.00000,feathering
1.71936,21.66667,74.00000,feathering
1.72919,16.66667,75.00000,feathering
1.76749,7.22222,76.00000,feathering
1.77741,1.11111,77.00000,feathering
1.80605,-5.00000,78.00000,feathering
1.82528,-10.55556,79.00000,feathering
1.85376,-15.00000,80.00000,feathering
1.90053,-15.00000,81.00000,feathering
