time/T,Angle(°),Index,Type
0.03899,98.33228,0.00000,position
0.10197,88.32703,1.00000,position
0.12596,74.99170,2.00000,position
0.16270,60.82197,3.00000,position
0.18594,41.65337,4.00000,position
0.24764,21.64823,5.00000,position
0.27035,-1.68700,6.00000,position
0.31951,-19.19110,7.00000,position
0.35614,-34.19415,8.00000,position
0.48286,-48.37138,9.00000,position
0.57465,-34.21236,10.00000,position
0.61567,-15.04911,11.00000,position
0.68412,17.44519,12.00000,position
0.71272,39.94280,13.00000,position
0.79316,65.76943,14.00000,position
0.84693,84.09829,15.00000,position
0.93872,98.25730,16.00000,position
1.01498,91.58428,17.00000,position
1.05215,80.74785,18.00000,position
1.08911,68.24477,19.00000,position
1.08911,68.24477,20.00000,position
1.11203,46.57619,21.00000,position
1.16098,27.40545,22.00000,position
1.15851,8.23899,23.00000,position
1.22064,-8.43286,24.00000,position
1.28308,-22.60473,25.00000,position
1.33332,-31.77558,26.00000,position
1.42222,-40.11632,27.00000,position
1.52612,-31.79165,28.00000,position
1.56629,-19.29499,29.00000,position
1.60731,-0.13175,30.00000,position
1.64801,16.53153,31.00000,position
1.68829,29.86151,32.00000,position
1.71624,47.35918,33.00000,position
1.75694,64.02245,34.00000,position
1.82292,77.35029,35.00000,position
1.95328,91.50609,36.00000,position
2.04132,76.49875,37.00000,position
2.12830,53.15817,38.00000,position
2.13783,27.32404,39.00000,position
2.18699,9.81995,40.00000,position
2.22298,-10.18305,41.00000,position
2.28543,-24.35492,42.00000,position
2.33577,-32.69245,43.00000,position
2.43742,-41.86759,44.00000,position
2.51636,-27.70750,45.00000,position
2.59573,-10.21412,46.00000,position
2.63665,8.11581,47.00000,position
2.67767,27.27906,48.00000,position
2.70520,41.44343,49.00000,position
2.73305,58.10778,50.00000,position
2.77321,70.60443,51.00000,position
2.82623,83.10001,52.00000,position
2.93045,93.92466,53.00000,position
3.00629,83.91834,54.00000,position
3.04367,74.74856,55.00000,position
3.08094,64.74545,56.00000,position
3.10547,55.57674,57.00000,position
3.11608,38.07586,58.00000,position
3.15228,19.73951,59.00000,position
3.20166,3.90206,60.00000,position
3.22544,-11.09992,61.00000,position
3.26239,-23.60300,62.00000,position
3.29999,-31.10614,63.00000,position
3.38878,-40.28020,64.00000,position
